Category,Car Name,Features,Price Per Day (INR),Number of Seats,Air Conditioning,Safety Rating,Fuel Type
Vintage,Ford Model T,"Bluetooth, Blind Spot Monitor, Leather Seats",13876,7,Yes,3.7,Diesel
SUV,Tata Safari,"Parking Sensors, Cruise Control, Electric Engine, All-Wheel Drive, Heated Seats",3215,6,Yes,4.9,Petrol
Off-Road,Jeep Wrangler,"Cruise Control, Leather Seats, Air Conditioning",3781,5,Yes,3.9,Petrol
Luxury,Audi A8,"Parking Sensors, Lane Departure Warning, All-Wheel Drive, Backup Camera, Blind Spot Monitor",6991,4,Yes,3.2,Hybrid
Hatchback,Hyundai Santro,"Heated Seats, Leather Seats, Bluetooth, Lane Departure Warning, Cruise Control",1852,7,Yes,4.9,Electric
Vintage,Ford Model T,"Backup Camera, Sunroof, Air Conditioning, Lane Departure Warning",8542,5,No,4.6,Electric
SUV,Ford Endeavour,"Parking Sensors, Blind Spot Monitor, Automatic Transmission",4954,7,No,4.7,Diesel
Luxury,Audi A8,"Manual Transmission, Sunroof, Electric Engine",9883,6,No,4.0,Electric
Luxury,Mercedes-Benz S-Class,"Sunroof, Bluetooth, Cruise Control, Backup Camera",9910,5,Yes,5.0,Diesel
Off-Road,Land Rover Defender,"Parking Sensors, Cruise Control, Lane Departure Warning",3329,7,No,3.8,Diesel
Electric,Tesla Model 3,"Automatic Transmission, Blind Spot Monitor, Parking Sensors",2249,7,No,3.1,Electric
SUV,Jeep Compass,"Blind Spot Monitor, Bluetooth, Leather Seats, Parking Sensors",3187,6,Yes,4.3,Hybrid
Luxury,Jaguar XJ,"Parking Sensors, Air Conditioning, Backup Camera, Cruise Control, Automatic Transmission, Bluetooth",10503,4,No,4.7,Diesel
Electric,Tesla Model 3,"GPS Navigation, Electric Engine, All-Wheel Drive",2956,6,No,4.4,Electric
SUV,Ford Endeavour,"Automatic Transmission, GPS Navigation, Heated Seats, Manual Transmission, Electric Engine",3513,7,Yes,4.5,Petrol
Off-Road,Jeep Wrangler,"Air Conditioning, Cruise Control, GPS Navigation, Parking Sensors, Lane Departure Warning, Bluetooth",4013,7,Yes,4.9,Hybrid
Off-Road,Toyota Land Cruiser,"Automatic Transmission, Hybrid Engine, Backup Camera",4744,5,Yes,3.9,Petrol
Electric,Tesla Model 3,"Cruise Control, Parking Sensors, Air Conditioning, Lane Departure Warning, GPS Navigation",2002,4,No,4.4,Electric
Hatchback,Renault Kwid,"Electric Engine, Sunroof, Lane Departure Warning, Bluetooth",1288,6,Yes,3.5,Hybrid
SUV,Toyota Fortuner,"Blind Spot Monitor, Electric Engine, Lane Departure Warning",4062,5,No,4.0,Hybrid
Off-Road,Jeep Wrangler,"Hybrid Engine, Lane Departure Warning, Heated Seats, Bluetooth, Automatic Transmission",4274,5,No,3.7,Diesel
Electric,Hyundai Kona Electric,"Lane Departure Warning, Parking Sensors, Backup Camera, Blind Spot Monitor, Electric Engine",2408,4,No,3.8,Electric
SUV,Toyota Fortuner,"GPS Navigation, Cruise Control, Automatic Transmission, Leather Seats, All-Wheel Drive",5301,7,Yes,3.6,Petrol
Vintage,Chevrolet Bel Air,"Backup Camera, All-Wheel Drive, Sunroof, Bluetooth, Cruise Control, Heated Seats",7475,4,Yes,3.1,Petrol
Off-Road,Land Rover Defender,"Automatic Transmission, Backup Camera, Hybrid Engine, Leather Seats, Parking Sensors, Heated Seats",4585,7,No,4.3,Hybrid
Vintage,Jaguar XK120,"Parking Sensors, Sunroof, Air Conditioning, Manual Transmission",12498,6,No,4.7,Diesel
Electric,Tesla Model 3,"GPS Navigation, Hybrid Engine, Leather Seats",2226,5,No,3.5,Electric
Vintage,Jaguar XK120,"Heated Seats, Parking Sensors, Sunroof, Hybrid Engine, Leather Seats",8103,6,Yes,3.9,Hybrid
Hatchback,Maruti Suzuki Swift,"All-Wheel Drive, Backup Camera, Sunroof, GPS Navigation, Cruise Control",2032,6,Yes,3.5,Hybrid
Vintage,Rolls Royce Silver Ghost,"Manual Transmission, Bluetooth, Hybrid Engine, Electric Engine, Parking Sensors, Heated Seats",8541,4,Yes,3.1,Diesel
Off-Road,Suzuki Jimny,"Heated Seats, Electric Engine, Blind Spot Monitor, All-Wheel Drive, Automatic Transmission, Hybrid Engine",4212,6,Yes,4.5,Diesel
SUV,Tata Safari,"All-Wheel Drive, Heated Seats, Automatic Transmission, Electric Engine",4321,7,Yes,4.2,Petrol
Vintage,Chevrolet Bel Air,"GPS Navigation, Automatic Transmission, Air Conditioning, Electric Engine, Heated Seats, Sunroof",13075,6,No,4.0,Electric
SUV,Jeep Compass,"Lane Departure Warning, Cruise Control, Manual Transmission",4817,5,Yes,3.2,Diesel
SUV,Toyota Fortuner,"Bluetooth, Electric Engine, Air Conditioning",3538,5,No,3.5,Diesel
Hatchback,Hyundai Santro,"Automatic Transmission, Bluetooth, Leather Seats, Air Conditioning",1772,5,Yes,3.9,Diesel
Luxury,Mercedes-Benz S-Class,"Hybrid Engine, Leather Seats, Air Conditioning, Cruise Control, Parking Sensors",9955,6,Yes,4.2,Petrol
Luxury,Jaguar XJ,"Manual Transmission, Lane Departure Warning, Air Conditioning, Bluetooth, Backup Camera, Leather Seats",5829,7,No,3.1,Diesel
Electric,Hyundai Kona Electric,"Backup Camera, Bluetooth, Automatic Transmission, Manual Transmission",3882,5,No,3.5,Electric
Electric,Tesla Model 3,"Automatic Transmission, Air Conditioning, Hybrid Engine, GPS Navigation, Blind Spot Monitor",2605,6,No,4.5,Electric
SUV,Tata Safari,"Electric Engine, Blind Spot Monitor, Manual Transmission, Leather Seats, Backup Camera, Hybrid Engine",3232,6,Yes,3.3,Diesel
SUV,Toyota Fortuner,"All-Wheel Drive, Heated Seats, Cruise Control",4391,6,No,4.9,Hybrid
Luxury,BMW 7 Series,"Cruise Control, Parking Sensors, Blind Spot Monitor",8885,6,Yes,4.1,Electric
SUV,Tata Safari,"Automatic Transmission, Parking Sensors, Air Conditioning, Leather Seats, Cruise Control, Heated Seats",4166,4,Yes,4.5,Electric
Luxury,BMW 7 Series,"Air Conditioning, Automatic Transmission, Heated Seats, GPS Navigation",11507,5,Yes,3.2,Diesel
Luxury,Mercedes-Benz S-Class,"Heated Seats, Manual Transmission, Backup Camera, GPS Navigation",7803,7,Yes,4.0,Petrol
Electric,Tesla Model 3,"All-Wheel Drive, Lane Departure Warning, Cruise Control, GPS Navigation, Blind Spot Monitor, Sunroof",3159,4,Yes,4.7,Electric
Electric,Hyundai Kona Electric,"Electric Engine, Backup Camera, All-Wheel Drive, Hybrid Engine, Bluetooth",2492,4,No,3.4,Electric
SUV,Mahindra XUV700,"Leather Seats, All-Wheel Drive, Parking Sensors",4877,5,Yes,4.6,Electric
Luxury,Mercedes-Benz S-Class,"Electric Engine, Manual Transmission, Leather Seats, Blind Spot Monitor, Lane Departure Warning, Heated Seats",11245,7,Yes,4.5,Diesel
Vintage,Plymouth Road Runner,"GPS Navigation, Backup Camera, Blind Spot Monitor, Hybrid Engine, Electric Engine",11372,7,No,3.3,Petrol
Vintage,Chevrolet Bel Air,"Manual Transmission, Automatic Transmission, Hybrid Engine",13372,4,Yes,4.9,Hybrid
